IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.49.47,8,8,0.00,190.87,22.15
2400:cb00:f00e:0:724c:194f:2c67:ac41,8,8,0.00,219.19,20.40
2606:4700:0:8f75:5cdc:2cc:185e:2f20,8,8,0.00,224.23,19.20
2400:cb00:2049:fac2:9533:240d:9e47:b840,8,8,0.00,225.25,19.01
2606:4700:0:c681:7620:4c72:63d9:6ed5,8,8,0.00,227.91,15.92
2400:cb00:2049:0:da43:f2d9:d525:7596,8,8,0.00,227.41,12.22
2400:cb00:f00e:72:4550:b56e:78ea:4eee,8,8,0.00,223.03,10.21
2400:cb00:2049:fac2:c68:4c6b:ad81:5dba,8,8,0.00,226.45,9.27
2606:4700:0:b8:2e0d:494a:3744:e9e,8,8,0.00,221.56,9.16
2606:4700:0:c681:f2df:9ee8:7605:d1a0,8,8,0.00,219.71,8.58
